Therapy,URL,Target,Focus Area,Description,Clinical Trials,Strictly Phase I,Strictly Phase II,Partially Phase III
MDM2-p53 antagonist,https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/mdm2-p53-antagonist,Cancer cell-directed,DDLPS / BTC,An MDM2-p53 antagonist that promotes p53-mediated cell cycle arrest and apoptosis,5,2,1,1
HER2 Tyrosine Kinase Inhibitor (TKI) ,https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/her2exon20inhibitor,Cancer cell-directed,NSCLC,"A tyrosine kinase inhibitor that covalently binds to both wild-type and mutated HER2 receptors, including those with an exon 20 insertion.1,2",1,1,0,0
DLL3/CD3 T-cell engager,https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/dll3cd3-tce,Immuno-oncology,SCLC / NENs expressing DLL3,A bridge between DLL3-expressing tumor cells and cytolytic T cells,2,0,1,0
B7-H6/CD3 T-cell engager,https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/B7-H6-T-cell-engager,Immuno-oncology,Solid tumors,A first-in-class IgG-like T-cell engager targeting B7-H6,1,1,0,0
ezabenlimab,https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/ezabenlimab,Immuno-oncology,Solid tumors,A humanized PD-1-targeting monoclonal antibody that blocks the interaction between PD-1 and its ligands,12,10,0,0
CD137/FAP bispecific agonist antibody,https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/cd137-fap-agonist,Immuno-oncology,Solid tumors,,1,0,0,0
SIRPα antagonist,https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/sirpa-antagonist,Immuno-oncology,Solid tumors,Humanized IgG monoclonal antibodies,4,4,0,0
VSV-GP,https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/vsv-gp,Immuno-oncology,Solid tumors,Targeting cancer with highly tumor-specific oncolytic viruses,2,0,0,0
KISIMA™ cancer vaccine (ATP128),https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/KISIMAcancervaccine,Immuno-oncology,Solid tumors,"A modular, self-adjuvanting, protein-based cancer vaccine that has the potential to strengthen the capability of the patient’s immune system to recognize and kill tumor cells ",1,0,0,0
STING agonist,https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/sting-agonist,Immuno-oncology,Solid tumors,A signaling molecule that plays a critical role in the cytosolic detection of tumor-derived DNA,1,1,0,0
KRAS G12C inhibitor,https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/kras-g12c-inhibitor,Cancer cell-directed,Solid tumors,A highly potent inhibitor that selectively targets KRAS G12C mutations ,1,1,0,0
pan-KRAS SOS1 inhibitor,https://pro.boehringer-ingelheim.com/inoncology/our-pipeline/sos1kras-inhibitor,Cancer cell-directed,Solid tumors,"A first-in-class, small-molecule pan-KRAS inhibitor that prevents the association of KRAS with Son of sevenless homolog 1 (SOS1). ",1,1,0,0
